tree_x,tree_y,species,dbh
581471.101,5074494.861,TSHE,6.5
581480.758,5074478.536,TABR,16.1
581478.878,5074483.385,ABAM,5.6
581476.766,5074488.892,ABAM,11.4
581476.421,5074491.428,TABR,11.5
581475.726,5074493.424,PSME,108.8
581479.292,5074485.155,TSHE,30.7
581480.079,5074485.972,TABR,5.9
581479.126,5074489.111,ABAM,6.3
581479.778,5074490.828,ABAM,11.9
581479.758,5074494.972,ABAM,5.2
581480.87,5074494.834,ABAM,6.3
581481.994,5074489.342,ABAM,5.8
581482.979,5074484.962,ABAM,6.3
581483.074,5074492.385,PSME,107.7
581484.943,5074482.659,TABR,6.2
581460.156,5074445.976,TSHE,31.5
581465.199,5074446.751,TABR,9.4
581465.71,5074447.112,TSHE,96.2
581469.218,5074448.993,TABR,9.4
581469.765,5074450.026,TABR,7.5
581460.715,5074450.255,TABR,5.2
581460.47,5074450.544,TABR,6.5
581478.852,5074448.032,TSHE,15.7
581461.061,5074455.029,TSHE,65.9
581470.416,5074450.948,TABR,6.4
581473.884,5074450.237,TSHE,64.0
581472.995,5074450.294,TABR,5.5
581475.762,5074449.398,TSHE,6.2
581477.872,5074449.128,TSHE,65.6
581466.794,5074453.977,TSHE,66.0
581464.579,5074455.835,PSME,68.3
581466.302,5074458.487,TABR,15.0
581480.64,5074449.168,TSHE,15.8
581477.281,5074453.028,TSHE,59.7
581464.063,5074463.19,PSME,43.5
581463.526,5074463.685,TSHE,16.9
581464.425,5074463.868,PSME,51.4
581466.546,5074464.809,TABR,11.7
581470.774,5074459.991,TSHE,81.7
581476.559,5074455.918,TSHE,20.2
581476.252,5074456.98,TSHE,67.7
581479.992,5074452.054,PSME,45.3
581469.845,5074465.384,TSHE,5.0
581473.864,5074467.211,TSHE,10.0
581472.53,5074468.489,TSHE,14.4
581478.533,5074459.693,TSHE,80.3
581479.629,5074458.871,TSHE,15.0
581481.35,5074463.709,TABR,5.3
581483.106,5074453.075,TSHE,27.5
581482.392,5074458.429,TSHE,29.3
